타임스탬프,학년,성별,학과,취미,개인공부시간,공부 시간대,기대연봉,학과 만족여부,전공 선호도,소셜미디어 사용시간,등교시간,하교시간,하교후 가는 곳,학업 스트레스,친구관계,알바,방과후 여부
2023. 10. 12 오후 3:47:58,2학년,남자,소프트웨어개발과,게임,0-30분,방과후(저녁),300,O,5,30-1시간,30-1시간,17시 ~ 17시 30분,학원 또는 방과후,매우 좋음,매우 좋음,X,O
2023. 10. 12 오후 3:48:12,2학년,남자,소프트웨어개발과,운동,30분-1시간,밤,주는대로 받는다,O,10,30-1시간,10-30분,바로 집에 가요!,집,좋음,좋음,X,O
2023. 10. 12 오후 3:48:28,1학년,남자,소프트웨어개발과,영상시청,1시간-2시간,밤,3000천원,X,0,30-1시간,10-30분,18시 이후!,식당,나쁨,나쁨,X,X
2023. 10. 12 오후 3:48:30,2학년,남자,소프트웨어개발과,게임,0-30분,밤,5000,O,10,2시간-3시간 이상,10-30분,바로 집에 가요!,집,좋음,매우 좋음,X,O
2023. 10. 12 오후 3:48:33,2학년,남자,소프트웨어개발과,게임,0-30분,밤,2700만,O,10,0-30분,1시간-2시간,바로 집에 가요!,집,나쁨,매우 좋음,X,O
2023. 10. 12 오후 3:48:38,1학년,여자,소프트웨어개발과,기타,30분-1시간,밤,2천 후반대,O,8,2시간-3시간 이상,1시간-2시간,18시 이후!,집,좋음,좋음,X,O
2023. 10. 12 오후 3:48:47,1학년,남자,소프트웨어개발과,게임,0-30분,밤,3000만,O,6,2시간-3시간 이상,30-1시간,바로 집에 가요!,학원 또는 방과후,나쁨,좋음,X,O
2023. 10. 12 오후 3:48:49,2학년,남자,소프트웨어개발과,음악,2시간-3시간 이상,방과후(저녁),2500만,O,10,0-30분,30-1시간,18시 이후!,집,매우 좋음,매우 좋음,X,O
2023. 10. 12 오후 3:48:52,1학년,남자,금융경영과,운동,30분-1시간,방과후(저녁),1000,X,6,1시간-2시간,10-30분,바로 집에 가요!,집,좋음,매우 좋음,X,O
2023. 10. 12 오후 3:48:54,2학년,남자,소프트웨어개발과,기타,1시간-2시간,기타,2800,O,8,1시간-2시간,10-30분,바로 집에 가요!,집,좋음,나쁨,X,X
2023. 10. 12 오후 3:49:18,2학년,남자,소프트웨어개발과,게임,30분-1시간,밤,2400,O,10,30-1시간,10-30분,17시 30분 ~ 18시,집,나쁨,나쁨,X,O
2023. 10. 12 오후 3:49:26,2학년,남자,소프트웨어개발과,게임,30분-1시간,밤,잘모르겠습니다,O,10,2시간-3시간 이상,10-30분,18시 이후!,학원 또는 방과후,좋음,매우 좋음,X,O
2023. 10. 12 오후 3:49:28,1학년,남자,금융경영과,기타,0-30분,기타,모르겠다,X,5,0-30분,10-30분,18시 이후!,PC방,나쁨,나쁨,O,X
2023. 10. 12 오후 3:49:35,2학년,남자,소프트웨어개발과,음악,2시간-3시간 이상,밤,5000만원,O,10,30-1시간,30-1시간,바로 집에 가요!,집,매우 나쁨,매우 좋음,X,O
2023. 10. 12 오후 3:49:39,1학년,남자,창업마케팅과,게임,30분-1시간,기타,초봉 1700정도..,O,6,1시간-2시간,30-1시간,바로 집에 가요!,집,나쁨,좋음,X,X
2023. 10. 12 오후 3:49:47,1학년,남자,소프트웨어개발과,게임,30분-1시간,방과후(저녁),1억,O,10,0-30분,1시간-2시간,바로 집에 가요!,집,매우 좋음,매우 좋음,X,O
2023. 10. 12 오후 3:50:20,1학년,남자,소프트웨어개발과,영상시청,30분-1시간,방과후(저녁),3~4천,O,6,30-1시간,1시간-2시간,18시 이후!,식당,나쁨,좋음,X,O
2023. 10. 12 오후 3:50:24,1학년,남자,소프트웨어개발과,영상시청,0-30분,밤,30000000,O,10,2시간-3시간 이상,10-30분,17시 ~ 17시 30분,집,좋음,좋음,X,O
