사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
Jun-24,2호선,208,왕십리(성동구청),713,5,6528,905,9584,8849,24025,13680,41133,26780,26689,20327,19016,15732,19145,17291,22717,19053,23521,20893,23568,20970,26717,22764,32178,26910,34793,36390,34810,54189,23808,32634,22621,22313,25040,20182,24911,19609,14100,12671,2562,4507,0,2,0,0,0,0
Jun-24,2호선,209,한양대,6,2,1312,548,2729,6449,5734,12468,8813,55945,6648,47343,8143,37976,13864,18618,17019,32569,19677,24488,22606,19296,26789,13776,32728,12152,41863,13909,34082,16717,18591,9254,15656,6654,16302,6350,12500,6127,7965,4370,1703,1215,0,0,0,0,0,0
Jun-24,2호선,210,뚝섬,25,0,3689,2573,9235,19296,17727,39071,24771,127798,18201,88164,15929,46064,20265,39552,23524,39980,28413,40384,35234,38119,42362,37847,55830,39813,81426,42062,129091,49915,67552,28396,53800,15546,45528,13377,28824,11831,10725,7722,1501,2555,1,33,0,0,0,0
Jun-24,2호선,211,성수,85,1,5940,3983,8877,32097,21641,68748,28669,234744,23640,143255,22384,89570,26920,82000,36523,82091,47888,84553,60162,82855,74062,80270,92548,78423,144608,77152,238345,77485,121678,45495,96701,23975,78145,18374,53272,15336,21528,12942,3118,6150,1,1020,0,0,0,0
Jun-24,2호선,212,건대입구,377,7,16748,1948,22382,16109,52185,24975,88048,57202,61957,48552,40251,45579,40002,49112,45365,55040,49646,61104,51615,60527,57734,66474,66472,79025,76544,103055,84066,146055,64833,100300,69490,67208,75650,63062,74785,55779,44872,32930,7169,11175,6,870,0,0,0,0
Jun-24,2호선,213,구의(광진구청),92,2,13821,1699,26617,27611,66526,16664,110356,36768,69692,22037,39712,20751,32831,20937,34757,23758,32875,26854,30372,28202,32437,36168,42062,42412,42518,57827,43354,90755,25395,65587,19829,45401,17890,45031,15750,40920,8421,24244,1331,7124,2,111,0,0,0,0
Jun-24,2호선,214,강변(동서울터미널),42,0,9736,2263,28232,22637,73513,24444,105081,41824,79608,34941,63899,35894,55390,33798,50128,37812,48844,42842,44094,46301,46345,56857,51364,62152,55606,77465,58009,102146,41481,71892,31929,52198,28018,46607,18086,40542,7099,21427,992,5250,1,27,1,1,0,0
Jun-24,2호선,215,잠실나루,12,0,3601,3346,13553,18313,37091,23008,44970,38191,31196,23185,25713,18461,24597,16360,23083,19396,21071,20767,22173,19463,25356,20335,33761,22298,37635,27859,29343,39106,14944,28076,11140,18754,8503,18378,6444,17079,2881,9655,494,2880,0,0,0,0,0,0
Jun-24,2호선,216,잠실(송파구청),154,7,13405,5112,51706,37122,120095,82278,164918,167502,123206,154634,87677,123442,87311,127270,97515,121386,107172,126525,116532,125144,140539,135868,166757,152087,196196,181505,230001,235330,157664,150126,161020,103462,150835,98942,101943,87242,33122,48058,4742,9243,1,1,0,0,0,0
Jun-24,2호선,217,잠실새내,64,0,6357,1101,18826,8949,59023,16696,80624,26935,54186,30654,37233,25545,34248,27656,34726,31381,35007,36040,32455,39661,35449,47929,39029,55008,41104,65923,42083,85140,31664,58407,29335,37256,31022,34868,31812,31900,18206,17323,2847,5459,2,8,0,0,0,0
Jun-24,2호선,218,종합운동장,19,0,1679,930,6443,12329,16500,19892,22054,30298,16156,17788,12647,16791,12725,14615,14949,22040,14738,29020,16168,27397,20593,53346,26656,86954,32857,97348,26276,90972,28117,26836,62355,13257,133223,13707,49615,10929,11380,6012,415,1628,1,107,0,0,0,0
Jun-24,2호선,219,삼성(무역센터),172,1,4593,5454,7099,44604,14938,135615,19251,312417,21483,235785,25641,120407,37901,89494,50369,83596,65165,89398,82220,76925,106828,66618,136804,62156,221239,61699,283165,59514,147355,32812,120589,19738,101183,16367,60679,12864,17400,6854,2217,4353,0,1142,0,0,0,0
Jun-24,2호선,220,선릉,161,5,5032,5951,12082,44747,21914,118357,34620,263716,34017,202545,39040,99363,48593,66025,58591,61831,69989,69825,76061,56480,98124,51276,124712,50286,196168,57982,271011,59220,138648,37507,91598,24252,86156,22278,72353,19773,25593,11619,4222,4653,0,68,0,0,0,0
Jun-24,2호선,221,역삼,41,1,3804,7011,8949,41506,15379,149673,25526,339276,24213,278435,25677,113254,34121,64538,41947,57753,49302,63742,57893,49879,77476,44160,99713,42127,211114,50666,252008,55786,134830,34600,79962,22625,73952,20459,49926,16911,19465,10621,3159,2987,0,2,0,0,0,0
Jun-24,2호선,222,강남,186,4,8383,10593,18089,56697,38842,150508,59460,291770,51506,299243,53318,147664,70621,102357,86359,99608,101265,115681,112416,102448,138228,97380,163191,104824,239429,134314,298631,168436,197594,100343,157911,59625,179157,52252,157277,42110,71790,24019,11942,6203,1,1,0,0,0,0
Jun-24,2호선,223,교대(법원.검찰청),34,0,2641,6777,11341,26079,24542,57432,34861,151456,29026,126111,27324,66702,32501,59096,35556,54058,43298,56750,51026,49965,52801,46771,57438,48889,92632,63396,126147,69656,59205,39860,51174,26033,50116,24952,41259,22633,15922,12545,2726,3248,0,0,0,0,0,0
