사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
Jun-24,3호선,328,잠원,3,1,1384,900,4940,8183,12796,7126,17239,9570,11399,6675,9063,4724,8669,4998,8187,5805,8586,6707,6847,6755,8619,8096,11546,8292,12042,10929,8930,13989,5306,10240,4153,6968,4384,6959,2768,7761,958,3800,139,1202,0,1,0,0,0,0
Jun-24,3호선,329,고속터미널,169,2,5515,4021,7733,34200,26726,47824,45502,74209,53951,96460,57376,101803,71183,111524,84840,103381,93871,103178,109428,108932,126267,110625,136302,109665,144728,114001,139777,116177,119929,74444,134003,48900,88733,38424,55426,26049,20115,12557,2232,2273,1,3,1,0,0,0
Jun-24,3호선,330,교대(법원.검찰청),68,1,1710,967,4879,6929,10062,21199,15170,47693,13207,35850,15570,17532,18911,12819,21129,12208,25998,12513,29852,11183,31133,11127,33592,11809,50569,16112,66775,20221,32132,10920,29329,6474,28811,5458,24960,5036,9135,2981,1271,825,0,0,0,0,0,0
Jun-24,3호선,331,남부터미널(예술의전당),47,7,3425,1386,9298,27902,27763,64833,43207,146414,36202,82214,36215,49904,39066,38037,40538,40698,43119,44493,46062,44504,49845,45263,63079,47773,101100,52920,124947,58905,60547,40770,43258,24878,39876,19941,29103,16126,9089,10268,960,2646,0,1,0,0,0,0
Jun-24,3호선,332,양재(서초구청),58,15,5552,2819,14404,43291,35110,107455,45014,211395,32996,115339,30944,54944,33585,48638,38584,43188,44708,47541,49161,42682,58027,41852,73024,47666,122451,64742,173471,74217,81643,50208,61180,32304,58286,30226,37393,26076,13784,14025,1487,3746,0,11,0,0,0,0
Jun-24,3호선,333,매봉,18,0,1945,675,7125,9025,18371,23802,21830,69567,16206,30539,14510,15464,14267,15071,14679,13621,15643,13775,17321,12887,19698,13756,22240,15577,37086,20082,56732,24159,19430,16089,14816,10537,16380,9070,9980,9026,3106,4706,490,1396,0,38,0,0,0,0
Jun-24,3호선,334,도곡,82,11,1179,213,4204,4278,11020,14254,13707,19517,9256,15389,7665,8020,7766,7750,8085,7266,7998,7517,8182,7610,10308,8044,13141,8306,16542,10122,16585,12685,8805,9950,6949,6138,6229,5778,4974,5354,1341,3094,240,1849,0,231,0,0,0,0
Jun-24,3호선,335,대치,28,0,3158,679,13022,8047,28025,17463,28140,27611,18260,19457,15224,14845,14718,13322,16527,17169,16950,20793,16318,18812,18046,21681,20221,26667,30019,30537,28454,31066,18088,23171,14172,13814,16542,13552,31279,12327,3427,6758,412,1963,0,2,0,0,0,0
Jun-24,3호선,336,학여울,2,0,629,256,2061,1725,4509,3501,4599,7362,3605,5901,2972,5053,3413,4429,4232,4876,4596,4822,4852,4443,5778,4180,6882,3797,7385,4078,7450,4549,2860,3571,2085,2474,1718,2226,1224,2014,353,1183,39,393,0,1,0,0,0,0
Jun-24,3호선,337,대청,114,0,3835,1129,12277,6942,30475,18364,36658,24406,21676,13079,17064,9083,15212,8717,14956,10645,15366,11690,13742,12714,17183,15345,19590,17219,25252,21769,25094,29422,12116,23145,8494,17122,6880,15618,5468,16801,1835,8771,342,2817,2,16,0,0,0,0
Jun-24,3호선,338,일원,10,0,2496,1604,8885,12030,24366,33046,24292,24981,17702,18633,17736,17331,17957,12657,18202,14257,15787,15879,17368,15384,22648,14282,31154,14065,35549,16501,18120,21174,10856,17141,7033,12131,5283,11679,3581,12056,1369,5162,128,1759,1,67,0,0,0,0
Jun-24,3호선,339,수서,91,4,4822,2464,13422,16443,36930,33351,43344,52998,32647,34897,37291,24507,28345,22225,34301,26974,30446,23275,24497,24437,34001,29133,37353,32324,45208,38961,49887,51098,23640,37971,24189,27056,16132,22891,15810,22143,7392,9072,702,3420,2,261,0,0,0,0
Jun-24,3호선,340,가락시장,70,8,3156,674,7259,6264,20764,11986,21833,26240,17208,14192,15214,10326,14182,11260,14239,12223,13764,12595,13685,12740,14975,15103,16874,16158,21092,19933,27633,24474,11777,17714,9112,11970,8226,10606,5981,10271,2344,5521,368,1789,5,41,0,0,0,0
Jun-24,3호선,341,경찰병원,7,0,3056,254,8349,3470,22707,9598,25452,26527,15915,14832,11819,8850,10859,7143,10089,8315,9911,9708,10309,8793,11042,9453,10703,10302,15443,15503,19042,21189,7223,17002,5861,10267,4990,9439,3438,9000,1210,5262,119,1504,0,0,0,0,0,0
Jun-24,3호선,342,오금,22,0,4795,10,9657,2487,28795,6106,30454,12835,16102,5975,9916,5390,8447,4745,8666,6007,8231,6384,6986,6911,6978,8750,8550,10354,10610,14570,11922,22058,4841,15780,3727,10819,3041,9635,2565,10539,1179,5729,118,2098,0,7,0,0,0,0
Jun-24,4호선,409,당고개,74,0,8947,72,17150,5247,44683,6723,34966,10629,23584,10558,16920,9887,15186,9793,15492,9881,14258,10519,13220,11164,12511,13664,13543,16344,13896,18950,12455,26346,8505,23300,6011,16745,4728,15452,3199,14231,1589,10121,375,3651,1,394,0,0,0,0
Jun-24,4호선,410,상계,39,4,16253,357,38935,6963,83114,19172,69174,20608,44219,18072,31814,15674,28797,17002,30124,20564,28248,21218,24184,22816,24521,27802,27547,36260,27043,44958,24677,64260,16210,56211,13155,35663,11848,31970,12206,29889,3905,20021,611,5525,2,572,0,0,0,0
Jun-24,4호선,411,노원,244,9,14646,1801,29163,16833,67447,35722,75426,63081,49686,53598,40173,40961,40392,39680,45582,44137,44324,47763,43669,46832,48688,51670,53930,62805,56615,77004,59455,106617,43979,77830,39789,49801,35809,44738,33272,39521,14726,25491,3230,8010,6,752,0,0,0,0
Jun-24,4호선,412,창동,2146,66,18126,2643,39475,12962,84728,20177,77119,45370,51966,36643,44048,32246,42155,31819,42471,38471,40127,43735,38013,45001,42609,49105,47955,56497,47287,67677,50515,91095,29610,73185,24090,47346,21840,42507,16791,38112,7568,23922,1347,8162,1,140,0,0,0,0
Jun-24,4호선,413,쌍문,245,15,26020,1289,53213,9724,119195,16241,121519,28166,77226,21843,54532,20648,46494,22973,46563,26982,42452,29493,37261,32180,35990,43593,38810,54685,37666,69681,33449,99492,22864,91583,17501,58172,13878,53397,10247,49531,4770,32696,626,9996,0,13,0,0,0,0
Jun-24,4호선,414,수유(강북구청),99,1,23337,3316,46498,11087,105221,20718,115791,51987,78712,39285,56536,31726,52353,33509,54243,35785,51966,40648,49064,44096,48183,53833,52221,68044,55238,82871,60460,118745,37600,100957,30234,67610,25830,62023,21009,58997,11546,38569,1952,9549,0,2,0,0,0,0
Jun-24,4호선,415,미아(서울사이버대학),21,0,12066,1808,20489,8356,44337,17155,50373,36076,33134,21676,26669,17310,24742,18827,26110,17661,24462,19339,23424,20911,23623,25209,29627,28838,28567,34129,28723,45667,17332,35713,12405,23607,10839,22388,8411,19395,3225,12963,385,3455,0,0,0,0,0,0
Jun-24,4호선,416,미아사거리,88,7,16589,3108,36703,8911,85493,21256,93087,33338,60442,31454,44271,29148,40099,30491,41948,32308,41127,35114,39383,38191,43074,47308,48277,55276,42330,68341,41737,96449,30499,72482,30284,46361,18484,43270,13182,37640,6341,22519,957,5099,0,0,0,0,0,0
Jun-24,4호선,417,길음,26,1,11355,1990,33774,7922,84362,15149,84620,30946,50440,25265,35787,22168,31055,23959,31983,24869,30689,28402,28433,29794,30982,31785,35414,41091,35202,53283,32710,75004,18983,59027,14889,38392,12339,36831,11591,36232,4481,21183,668,5556,0,0,0,0,0,0
Jun-24,4호선,418,성신여대입구(돈암),29,1,6441,1896,19883,7964,45878,17549,51797,39565,38469,29854,31336,23857,32176,30608,35927,28596,37342,31975,36686,33467,38037,34177,43055,41566,47444,52335,47933,66637,32310,52097,29407,35002,30567,34090,27199,31830,12901,21038,2053,6203,0,7,0,0,0,0
Jun-24,4호선,419,한성대입구(삼선교),65,3,6942,1308,13655,8792,28268,17794,35051,29827,26302,25078,20514,21140,20528,21255,23169,20192,23664,21542,24751,21528,26262,21813,32494,25077,33540,31406,31791,35509,19312,27046,17017,19276,15219,18575,11887,18244,5386,11107,710,6068,0,1514,0,0,0,0
Jun-24,4호선,420,혜화,32,2,3887,2066,7798,22218,17203,47499,20678,108922,24561,80032,29748,61044,34922,64366,38041,75211,41920,91192,53545,79997,73211,61066,86400,64603,106689,73111,111936,79666,68926,50878,75166,22566,100830,20761,86291,18465,31362,11484,4049,3841,1,503,0,0,0,0
Jun-24,4호선,421,동대문,213,9,4194,2399,2979,14770,5213,32999,8033,64077,13112,63165,19703,61973,27586,54683,34136,48151,39237,44114,47753,41307,55464,35099,66612,27865,81315,21636,57689,19538,33153,19910,26562,15474,25882,10945,20121,8062,8908,6144,1390,1395,1,159,0,0,0,0
Jun-24,4호선,422,동대문역사문화공원(DDP),357,11,6431,1473,4732,13306,8884,27885,13488,62296,17582,39690,19896,32920,21879,30875,24976,28659,27078,29099,32545,29101,39767,26381,46964,25065,63550,25874,75570,27452,43066,28316,36803,20105,34421,17970,28755,15400,15355,10974,2659,3068,4,157,0,0,0,0
Jun-24,4호선,423,충무로,89,5,3685,3059,5860,22421,12367,59460,20763,164618,26911,97151,31603,56194,34837,48629,34900,44615,40335,45862,45253,39618,50893,36801,61834,39328,97182,44508,143484,48498,64575,30525,52180,21665,51345,22621,39345,21790,22107,14986,3845,4188,3,195,0,0,0,0
Jun-24,4호선,424,명동,20,3,1499,1544,3927,23290,8507,52620,16480,118536,30131,91908,35987,66778,42214,67872,43896,73655,47947,71267,59188,68065,71865,68734,85299,70287,97555,71161,131016,67857,78532,52093,73230,42859,72596,32846,68342,20104,30651,10489,1916,3082,6,140,0,0,0,0
Jun-24,4호선,425,회현(남대문시장),26,2,1404,914,3190,20382,5196,54719,9212,137810,13023,100692,19352,86256,31893,82580,42726,64207,54361,57807,64787,52279,74210,43597,86500,33902,108496,25821,116696,21102,56153,12379,55242,6984,21979,6492,12597,5661,4743,3674,452,1186,0,59,0,0,0,0
Jun-24,4호선,426,서울역,265,16,4878,923,6442,17132,11877,41130,16280,88419,15017,55952,13967,32159,16202,32772,16880,35685,16606,35752,17038,34912,18408,36943,24477,38702,47345,41865,59608,41568,23601,31884,16677,23868,14753,22865,10994,18680,4960,9693,588,2820,0,222,0,0,0,0
Jun-24,4호선,427,숙대입구(갈월),6,1,3391,1064,8231,9058,18750,24002,27228,49499,21230,31044,17882,21377,18743,21882,21897,20247,22654,21615,23408,21011,26196,20936,34716,24457,41111,30575,48711,38322,24634,25389,23759,16980,23672,15540,20008,14914,9443,9415,1117,2164,0,0,0,1,0,0
Jun-24,4호선,428,삼각지,5,1,495,428,2215,5275,7094,12569,10347,19778,6717,12101,6036,10458,6129,12057,7190,13169,8399,12710,9007,11342,10150,11939,11143,14624,15989,18493,23320,24020,12034,14861,12016,8212,14622,6538,13788,5725,7036,3822,817,1319,0,1,0,0,0,0
Jun-24,4호선,429,신용산,10,1,1518,1360,4243,14617,11960,40188,17945,89173,15733,64994,15033,32956,19742,30930,20886,33138,25712,34216,25541,31583,33885,32763,43903,35420,65206,42795,92278,49025,46301,29116,40545,17770,40723,12861,30207,9355,13197,4964,1372,1210,0,0,0,0,0,0
Jun-24,4호선,430,이촌(국립중앙박물관),11,2,1345,1077,5218,7821,12393,13292,17099,24864,11935,20442,9999,18432,11794,18426,15722,19017,15829,22479,17484,19899,21553,19056,29302,17865,30609,17742,27112,22154,11306,14678,9484,9576,9458,8904,5109,7534,1874,4435,194,1298,0,12,0,0,0,0
Jun-24,4호선,431,동작(현충원),8,0,240,393,811,3102,2082,3422,2352,5623,2309,5151,2719,3944,4064,2976,3549,2583,2921,3228,2748,3132,3355,3046,4184,2837,5542,3572,5401,4717,2822,3885,3417,3182,3672,1531,2295,1093,908,707,128,398,0,60,0,0,0,0
Jun-24,4호선,432,총신대입구(이수),102,9,6771,1097,17828,11213,46134,18918,57060,40437,38028,30287,30039,26300,28602,26590,31342,28546,32916,31087,30369,31983,31450,37698,34294,44198,36460,55820,41948,76646,26515,46947,25907,29388,20953,25798,17028,23212,7887,13629,1040,3396,5,657,0,0,0,0
Jun-24,4호선,433,사당,182,50,11044,1273,27570,19881,65769,26162,78980,35331,60796,28415,43989,25799,37297,35645,39255,34931,40072,30760,39618,30698,39103,36278,41073,48519,46806,67019,49808,94431,34286,57140,33591,37382,36604,34905,32476,33462,16061,22302,1732,6298,2,609,0,0,0,0
Jun-24,4호선,434,남태령,26,0,724,85,949,1853,2295,4922,3837,5053,3086,2061,2481,1333,2453,1233,2445,1379,2199,1396,2150,1411,2578,1604,3856,1814,5340,1741,3959,1929,1601,1518,1158,1604,803,1066,550,1087,220,624,21,161,0,0,0,0,0,0
Jun-24,경부선,1001,서울역,18,4,70,638,161,4970,12432,7807,21311,8619,18588,6636,17062,6043,19690,3730,21540,5601,19181,5184,8202,5000,21428,5811,19158,5804,20321,8509,23643,9482,21509,6192,15047,4665,21074,4231,17229,3516,9227,819,1147,44,0,0,0,0,0,0
Jun-24,경부선,1002,남영,109,0,2730,1989,5077,9588,13386,24398,19044,48658,12111,26139,9756,13901,10296,12702,11779,12304,12313,12956,12564,11981,16203,12477,21708,14140,31347,18588,38829,23514,16688,15064,15037,10310,15115,10053,12251,9028,4918,5182,273,1281,0,0,0,0,0,0
Jun-24,경부선,1003,용산,535,14,4994,5538,6149,37812,22731,85616,33906,146470,41796,115385,37853,86333,55058,78018,52552,84066,68104,84271,54361,83717,99674,84429,110275,81356,127806,90871,158015,92096,106022,62811,109483,44227,108935,30166,72441,16462,27932,7431,1096,2082,1,0,0,0,0,0
Jun-24,경부선,1004,노량진,696,6,5373,2144,7512,5760,17772,7832,23089,13498,13292,10753,10641,8785,11320,10757,12145,11073,13409,11224,13724,10382,13469,12310,15561,16723,16647,24117,16673,36108,13300,20008,14622,13047,15085,12300,13916,10753,5221,7065,280,1501,0,0,0,0,0,0
Jun-24,경부선,1005,대방,552,19,5306,2054,9991,8796,23711,30340,29614,39888,18014,19993,14611,12091,13487,11614,14638,12392,14836,13651,14402,12656,15566,14207,16341,16906,27351,23370,33936,32417,13116,19706,10500,14882,9080,14515,6412,13025,2325,8125,132,2043,0,0,0,0,0,0
Jun-24,경부선,1006,영등포,4707,123,17254,7641,16532,26557,39998,61035,54934,123194,41486,93203,42746,79863,48355,88959,56781,92971,62215,100392,63628,83387,90604,79926,105051,82979,122157,93703,157611,105277,98701,65700,97375,41395,76133,32698,58420,27758,23632,15696,695,4066,2,6,0,0,0,0
Jun-24,경부선,1007,신도림,457,5,2360,792,3658,3184,9533,7405,10956,14328,5988,7249,4884,5288,4453,5628,4858,5648,4951,6411,5166,5419,5500,6237,7128,7913,9651,10321,13391,13778,6484,8064,6452,5284,5294,4768,4908,3830,1784,2436,105,1298,0,21,0,0,0,0
Jun-24,경부선,1032,신길,1006,3,10223,1660,10923,5734,22887,16982,30582,25312,18020,10451,12001,7756,10540,6889,12528,7560,11122,8614,9909,8431,11364,10061,13815,12523,18455,16245,26438,21523,11099,14950,8652,11165,6957,11964,5021,10701,2110,6441,126,1807,0,0,0,0,0,0
Jun-24,경부선,1701,구로,13041,69,22273,4591,18622,13492,35946,30097,35276,64013,26607,37032,21265,28007,21259,24873,22870,24764,24280,24980,25266,23123,29690,25510,33481,30751,49652,37717,51444,41529,24181,28417,20719,20262,17340,19971,11407,17554,4500,13128,30,11472,0,52,0,0,0,0
Jun-24,경부선,1702,가산디지털단지,1717,7,7963,2660,7780,11613,14524,54864,15912,139000,12073,66416,11060,21937,12522,15669,14117,15613,15566,16678,15934,15682,18812,15905,27909,18797,68785,25237,98615,28017,39670,20371,25341,13896,20389,12833,13884,12532,6189,7064,251,1259,0,0,0,0,0,0
Jun-24,경부선,1703,금천구청,709,6,12423,1661,19009,6637,42244,16079,39827,28110,24846,12717,18554,9795,16327,10117,16805,12151,15069,14379,13471,12869,14353,17455,15861,21843,16547,29679,25180,42128,11511,31296,8478,16791,7168,18095,4801,15313,1615,9871,62,689,0,0,0,0,0,0
Jun-24,경부선,1704,석수,420,3,7652,2598,16319,6188,33999,11351,31464,14185,19666,11367,14610,8402,12602,6332,12701,7519,11531,8065,10555,8746,12260,11341,13387,13866,16562,19815,14720,30058,8599,22566,6102,14311,5006,14725,3437,12648,1373,7503,59,524,0,0,0,0,0,0
Jun-24,경부선,1705,관악,231,0,8448,1997,13735,4290,31906,7052,27926,11757,15495,10510,11458,10041,10416,7896,11161,8098,10851,7814,10076,7988,10355,9422,11736,12665,12160,17320,11030,28510,6636,20145,5470,12302,5012,12246,2797,10189,1181,7383,100,764,0,0,0,0,0,0
Jun-24,경부선,1706,안양,425,1,16185,4155,33883,14603,78199,21907,67861,43410,41379,43467,32262,33944,32500,33557,37114,32246,35442,36880,36114,30023,42488,37158,50727,42565,48101,56553,39588,79999,25363,59032,23597,36874,21977,30103,17956,25399,8323,18929,452,2480,0,0,0,0,0,0
Jun-24,경부선,1707,명학,182,13,7200,2247,10781,8959,24934,25015,21221,48722,11945,13882,8998,9208,9334,9946,10403,8169,10904,9623,10955,8669,11655,7642,15269,9709,25976,12458,34781,19461,11512,16631,9924,9915,6839,8408,4508,8393,1959,6435,157,1334,0,0,0,0,0,0
Jun-24,경부선,1708,금정,661,15,24861,5544,39351,22314,87127,45769,86482,85973,54757,35716,40146,23997,35416,24661,36832,27296,35141,29144,31890,29996,34452,40026,42430,46796,65305,65616,72803,92516,35515,70811,28619,44552,24421,45235,17206,38252,7988,25530,588,9851,0,0,0,0,0,0
Jun-24,경부선,1709,군포,22,0,5214,2595,8968,9361,17767,32466,16233,37048,10164,8016,7724,4884,7515,4648,7777,5244,6873,5639,6707,5580,7462,6874,10226,7757,22468,10583,30804,13883,11502,12295,9091,7718,5312,6802,2656,6051,1220,3731,45,665,0,0,0,0,0,0
Jun-24,경부선,1710,의왕,143,1,6651,3800,13751,12696,28223,31207,27505,26831,14908,9996,11523,6842,10816,7624,11409,7863,10300,9135,10224,8467,12207,10699,18492,14081,27423,17568,22611,26692,12093,19684,9103,13392,7236,12163,4415,10629,2021,7291,79,1257,0,0,0,0,0,0
Jun-24,경부선,1711,성균관대,252,5,9857,2299,29123,7139,66579,10646,53546,25292,29264,19800,23120,15933,21658,15857,23105,16645,20133,19838,19462,18322,21788,21383,26383,27888,27113,39434,24346,59676,16516,46178,13741,29562,12489,27875,10140,24175,4925,16938,320,2911,0,0,0,0,0,0
Jun-24,경부선,1712,화서,456,35,9708,1315,24678,4527,45637,6750,34655,13655,16874,14345,13348,15728,12867,21378,13288,23450,13737,25766,16336,22960,20635,22439,25211,23646,26130,29507,24511,43802,19845,33091,18237,18941,16399,14586,13904,13095,2449,8862,110,1627,0,0,0,0,0,0
Jun-24,경부선,1713,수원,2376,48,21727,5274,38030,32189,73892,53256,67610,75201,50321,71277,48042,71340,52013,70531,57721,83431,59191,75720,61943,75780,76794,80227,93437,88944,91000,100026,97053,123360,78012,91840,86679,56027,68655,43340,60382,35266,21937,24517,673,7683,0,0,0,0,0,0
Jun-24,경부선,1714,독산,717,5,8969,2424,18873,13393,45256,44033,43404,87641,24796,39315,19132,13805,18626,12029,19754,13403,18183,14751,17673,12804,18530,16921,29644,20218,54367,27718,62867,42665,26551,33891,16794,20714,11910,21767,7372,21359,2762,12044,130,847,0,0,0,0,0,0
Jun-24,경부선,1715,세류,638,1,4479,1129,9335,2968,15193,4185,10907,4301,6284,3066,5147,3077,4510,3326,4393,3839,4015,3471,4015,3712,4743,4434,6173,6537,7239,7789,5389,12085,3414,9808,2678,7055,2440,6689,1343,4980,495,3312,12,990,0,0,0,0,0,0
Jun-24,경부선,1716,병점,3417,23,8931,4224,29075,12438,51704,21568,43115,28561,31418,18321,27383,14380,25897,16312,25792,17702,23197,17376,22232,20864,25110,25423,29030,31396,33771,41175,31719,49516,18602,42282,14160,31422,12448,26001,8974,25486,3325,17579,30,7229,0,0,0,0,0,0
Jun-24,경부선,1717,세마,305,1,2418,1903,6202,4237,10398,4846,10027,10567,6624,2572,4801,2238,4543,2695,4588,2637,4819,3454,4085,3348,5053,3680,7591,6477,7538,8290,8888,8724,3489,7594,2470,5615,2117,5226,1495,4823,588,2753,43,260,0,0,0,0,0,0
Jun-24,경부선,1718,오산대,395,0,3140,1290,7632,2612,13116,4430,10223,9446,6899,4749,5548,5725,5107,5132,5396,4149,6051,4948,5787,4751,7184,4367,8609,6682,8917,8918,8951,12710,4147,9586,3475,6470,3318,5805,2320,4926,1203,3116,95,257,0,0,0,0,0,0
Jun-24,경부선,1719,오산,549,5,7583,2775,15786,9874,25972,27098,26868,20215,20509,15011,18895,12706,18406,11157,18735,14566,16464,15320,16380,14957,17957,19500,22279,23183,24672,28002,26674,31117,16110,22522,12714,18571,8823,15852,5845,10877,2321,8606,135,807,0,0,0,0,0,0
Jun-24,경부선,1720,진위,47,0,930,315,1831,2953,2911,8179,2941,7414,2400,2981,1841,2237,1738,1169,1873,1117,1910,1304,1776,1286,4113,1579,4093,2008,7337,2532,7637,2543,3129,2576,1882,1770,1067,1601,599,1273,235,913,15,75,0,0,0,0,0,0
Jun-24,경부선,1721,송탄,157,4,6155,941,8647,3339,12753,6505,12203,8976,10112,4919,8776,4333,8487,4936,8317,5551,7864,5611,7099,6654,8003,7769,9815,9403,9617,12377,9836,13239,5898,12928,4412,10060,4013,9333,2477,7351,1049,6996,48,605,0,0,0,0,0,0
Jun-24,경부선,1722,서정리,135,2,5561,4298,12114,9517,17910,16150,17410,21094,14605,9586,13554,8093,12576,8096,13464,10506,11950,10946,12491,10388,14928,12675,21460,17776,33318,21056,20054,19613,11853,18158,9561,14539,7831,11592,4838,12190,2574,9000,116,763,0,0,0,0,0,0
Jun-24,경부선,1723,평택지제,12,0,2812,6267,5490,9298,11720,12174,11113,7536,7391,4987,5897,4013,5959,4546,6726,4657,4578,4366,5403,4663,7912,5944,8236,7669,14986,9283,9610,10997,8056,8995,5816,6538,4991,6457,4924,6061,2686,3818,37,313,0,0,0,0,0,0
Jun-24,경부선,1724,평택,214,3,8447,3296,14981,9931,27451,16726,29658,26506,27188,22459,23697,19114,22665,23162,23807,23766,24099,23326,24320,26900,26067,27886,30097,33513,33057,40109,29501,39011,22231,25344,23271,22660,17069,17153,13909,14359,7482,8066,139,2476,0,0,0,0,0,0
Jun-24,경부선,1725,성환,87,1,2291,999,3787,3546,7296,12550,7066,16173,7294,16256,7700,8071,8093,6127,9324,9822,11739,8715,11896,5840,14014,6272,15027,7442,18702,8015,12993,8669,6056,6670,5235,6396,3330,6159,2060,6269,798,5185,80,1267,0,0,0,0,0,0
Jun-24,경부선,1726,직산,105,4,810,385,1818,1535,2730,3203,2379,3364,1953,1309,1701,1102,1626,955,1441,1284,1296,1187,1318,1229,1645,1249,1713,1776,3688,2366,3412,2367,1312,2352,1028,1422,733,1332,353,1118,206,1020,30,161,0,0,0,0,0,0
Jun-24,경부선,1727,두정,1158,4,5764,1758,10227,4887,17600,11613,16340,19438,15395,19671,12263,14842,12858,13171,14874,14035,13364,12989,13203,11468,15276,11525,17600,14836,17805,17861,18544,22932,11515,16528,9036,13485,8135,10591,5811,11199,2924,8861,57,2821,0,0,0,0,0,0
Jun-24,경부선,1728,천안,1727,2,3570,966,5717,3538,12618,7101,11417,14918,14988,14996,11903,12424,13910,14348,13340,14328,13519,13651,18986,12774,18844,13815,20852,14272,18301,19256,16221,19139,11520,12004,9116,9821,6977,7171,4257,5767,2364,3290,30,2771,0,0,0,0,0,0
Jun-24,경부선,1729,당정,30,1,4747,1091,11360,3202,24769,8843,21108,16088,12492,8340,9355,5673,8979,5271,10118,6615,8633,6424,8349,6227,8694,7555,10011,9872,11758,13446,13838,19589,5679,16236,4808,11429,3902,9945,3096,10068,1299,6431,81,1301,0,0,0,0,0,0
Jun-24,경부선,1749,서동탄,3,0,1568,10,5864,887,10493,1561,4104,1222,2948,895,2098,719,1976,1087,1749,1129,1500,1193,1555,1483,1847,2116,1881,2434,1921,3287,2137,5209,977,5842,838,2661,528,1924,487,2634,149,1733,1,1236,0,0,0,0,0,0
Jun-24,경부선,1750,광명,2,1,37,1604,3683,3353,11086,7085,9931,7495,7390,6263,4280,4378,8139,3068,6145,9005,5644,179,4004,9406,6962,4201,7834,5236,9181,7204,9892,11876,8533,6850,3026,4837,7977,3149,2942,4885,1214,47,2,1,0,0,0,0,0,0
Jun-24,경인선,1801,개봉,1668,5,20014,7240,39524,12148,86858,14397,82136,22348,51324,20681,38493,18016,33418,20648,33688,24206,30630,25901,27231,27748,27174,36185,31222,46578,31361,60045,29174,84275,18998,61272,15520,40685,12243,38352,9668,31833,3761,19075,62,1603,0,0,0,0,0,0
Jun-24,경인선,1802,오류동,602,6,13387,1893,19499,5044,45954,5786,46631,11449,29848,11185,23244,9520,19465,9897,20273,12422,17645,13445,15195,14590,15498,18058,16067,21854,15493,28150,13460,41038,8744,34414,7193,22419,5856,21244,3882,18732,1838,12429,39,1468,0,0,0,0,0,0
Jun-24,경인선,1803,역곡,1395,16,30252,3203,45449,10594,105619,14297,104202,33373,62126,33553,43391,24137,37836,25982,39906,29855,37525,29746,33366,33381,35083,38616,38790,54851,37958,69428,34147,106835,22509,82709,19000,49274,15935,48267,13339,40049,6343,28173,362,3389,0,0,0,0,0,0
Jun-24,경인선,1804,부천,3869,24,40934,4573,42017,12325,93177,18125,94375,44315,61676,44592,47550,44963,48214,41434,50065,50343,48509,53441,48388,48569,53732,56624,57862,63725,56901,85931,57358,107367,37478,85297,32441,55315,29956,48761,22911,40589,11458,27608,764,5122,0,0,0,0,0,0
Jun-24,경인선,1805,송내,1739,7,17640,8346,39660,16594,99079,29632,84562,75520,50703,39837,37659,25028,36387,22608,36423,26060,33724,26348,30450,27586,33851,32922,38191,41994,47623,58683,72264,85874,28722,74875,23198,46028,19528,41048,14866,36231,6718,22520,642,3635,1,1,0,0,0,0
Jun-24,경인선,1806,부평,9542,66,24152,5230,35309,11193,80516,19118,75174,32465,47258,38441,39703,36008,40380,41495,44699,48785,44364,52596,44655,53168,49852,54902,54324,67924,57961,83870,52652,111820,39357,89880,38798,53251,36077,47338,30203,36672,16758,24570,2529,7748,1,1,0,0,0,0
Jun-24,경인선,1807,백운,173,0,9841,1658,15429,2863,29842,4418,28219,10520,17149,7085,13539,6037,13253,7889,12248,8825,11372,8984,10131,9582,10034,12522,11273,15450,10850,19928,8858,25641,5287,24563,4414,13803,4315,14089,2819,11839,1653,7011,175,2376,0,0,0,0,0,0
Jun-24,경인선,1808,동암,748,11,21343,3361,29654,7372,57365,12787,55131,16814,35021,15965,27176,14078,25135,17214,26295,19363,23222,19326,20496,20270,21075,24416,23039,31539,23372,44194,21587,54649,14163,48879,12009,32421,9990,30159,7819,26100,3981,14854,365,5070,0,0,0,0,0,0
Jun-24,경인선,1809,주안,1072,23,14687,3829,28829,9159,58308,17898,54317,28195,36251,21338,28513,17789,30643,18002,32151,21143,28825,20858,27194,23495,30669,24497,33614,33077,36485,39670,33803,54637,21387,53564,19672,31446,18003,29707,14209,27014,7441,18445,733,5829,1,0,0,0,0,0
