년월,항공사(ICAO),항공사(IATA),항공사명,국제_국내,경유지공항,도착_출발,정기_부정기,여객_화물,유임승객(명),무임승객(명),환승객(명),항공화물(kg),환적화물(kg),우편물(kg),수하물(kg)
2019-01,AAL,AA,아메리칸항공,국제,DFW,도착,정기,여객,5713,26,2332,109809,0,7817,175077
2019-01,AAL,AA,아메리칸항공,국제,DFW,출발,정기,여객,5948,16,2778,329877,0,73151,167176
2019-01,AAR,OZ,아시아나항공,국내,CJU,도착,부정기,여객,181,1,0,0,0,0,693
2019-01,AAR,OZ,아시아나항공,국내,PUS,도착,정기,여객,4398,16,0,0,0,0,80663
2019-01,AAR,OZ,아시아나항공,국내,PUS,출발,정기,여객,3902,18,0,0,0,0,71481
2019-01,AAR,OZ,아시아나항공,국제,ALA,도착,정기,여객,1766,16,263,454,0,0,33723
2019-01,AAR,OZ,아시아나항공,국제,ALA,출발,정기,여객,1854,23,404,35161,17546,6782,47074
2019-01,AAR,OZ,아시아나항공,국제,ANC,도착,정기,화물,0,0,0,1014827,424468,0,0
2019-01,AAR,OZ,아시아나항공,국제,ANC,출발,정기,화물,0,0,0,1051,0,0,0
2019-01,AAR,OZ,아시아나항공,국제,ATL,도착,정기,화물,0,0,0,213225,97060,0,0
2019-01,AAR,OZ,아시아나항공,국제,ATL,출발,정기,화물,0,0,0,485544,289245,0,0
2019-01,AAR,OZ,아시아나항공,국제,BCN,도착,정기,여객,4319,1,383,61397,45019,0,81508
2019-01,AAR,OZ,아시아나항공,국제,BCN,출발,정기,여객,5003,2,115,131098,98418,0,74590
2019-01,AAR,OZ,아시아나항공,국제,BKK,도착,정기,여객,15748,29,2980,321136,169960,0,312522
2019-01,AAR,OZ,아시아나항공,국제,BKK,출발,정기,여객,16659,51,2692,272550,79264,21400,324313
2019-01,AAR,OZ,아시아나항공,국제,BRU,도착,정기,화물,0,0,0,1096982,246652,0,0
2019-01,AAR,OZ,아시아나항공,국제,BRU,출발,정기,화물,0,0,0,34933,32978,0,0
2019-01,AAR,OZ,아시아나항공,국제,BRU,출발,부정기,화물,0,0,0,1329,1329,0,0
2019-01,AAR,OZ,아시아나항공,국제,CAN,도착,정기,화물,0,0,0,1106442,906783,48617,0
2019-01,AAR,OZ,아시아나항공,국제,CAN,도착,정기,여객,11089,45,1739,339225,166017,103766,222197
2019-01,AAR,OZ,아시아나항공,국제,CAN,출발,정기,화물,0,0,0,61606,28914,0,0
2019-01,AAR,OZ,아시아나항공,국제,CAN,출발,정기,여객,9800,23,1578,138783,70751,5099,204215
2019-01,AAR,OZ,아시아나항공,국제,CDG,도착,정기,여객,4973,5,542,169436,31381,0,100657
2019-01,AAR,OZ,아시아나항공,국제,CDG,출발,정기,여객,4922,16,651,181742,99976,13291,97926
2019-01,AAR,OZ,아시아나항공,국제,CEB,도착,정기,여객,3300,48,1824,12862,8655,0,86316
2019-01,AAR,OZ,아시아나항공,국제,CEB,출발,정기,여객,3623,57,1332,735,536,0,88186
2019-01,AAR,OZ,아시아나항공,국제,CGK,도착,정기,여객,6388,25,458,197868,68290,4773,101971
2019-01,AAR,OZ,아시아나항공,국제,CGK,출발,정기,여객,7423,33,509,317456,152619,0,190906
2019-01,AAR,OZ,아시아나항공,국제,CGQ,도착,정기,여객,4815,39,1371,29877,21,29717,93423
2019-01,AAR,OZ,아시아나항공,국제,CGQ,출발,정기,여객,6786,56,539,14475,5434,6917,123082
2019-01,AAR,OZ,아시아나항공,국제,CKG,도착,정기,화물,0,0,0,435560,287128,0,0
2019-01,AAR,OZ,아시아나항공,국제,CKG,도착,정기,여객,1779,5,235,0,0,0,26430
2019-01,AAR,OZ,아시아나항공,국제,CKG,출발,정기,여객,1861,11,77,5623,349,0,25095
2019-01,AAR,OZ,아시아나항공,국제,CRK,도착,정기,여객,2772,11,1832,192,160,0,107033
2019-01,AAR,OZ,아시아나항공,국제,CRK,출발,정기,여객,3018,8,1518,185,95,0,114423
2019-01,AAR,OZ,아시아나항공,국제,CSX,도착,정기,여객,2368,3,178,25407,6037,18465,32649
2019-01,AAR,OZ,아시아나항공,국제,CSX,출발,정기,여객,2338,4,171,2951,2951,0,29244
2019-01,AAR,OZ,아시아나항공,국제,CTS,도착,정기,여객,6573,12,1732,0,0,0,115536
2019-01,AAR,OZ,아시아나항공,국제,CTS,출발,정기,여객,6443,14,1562,0,0,0,90005
2019-01,AAR,OZ,아시아나항공,국제,CTU,도착,정기,여객,2895,9,467,7930,488,6657,44654
2019-01,AAR,OZ,아시아나항공,국제,CTU,출발,정기,여객,2815,9,405,7602,371,0,50308
2019-01,AAR,OZ,아시아나항공,국제,DAD,도착,정기,여객,10582,63,895,132996,114645,0,158709
2019-01,AAR,OZ,아시아나항공,국제,DAD,출발,정기,여객,10373,65,1316,24955,22461,0,159584
