년월,항공사(ICAO),항공사(IATA),항공사명,국제_국내,경유지공항,도착_출발,정기_부정기,여객_화물,유임승객(명),무임승객(명),환승객(명),항공화물(kg),환적화물(kg),우편물(kg),수하물(kg)
2018-01,AAL,AA,아메리칸항공,국제,DFW,도착,정기,여객,5749,21,1352,122910,0,7398,140091
2018-01,AAL,AA,아메리칸항공,국제,DFW,출발,정기,여객,6133,16,2056,331050,0,67491,180208
2018-01,AAR,OZ,아시아나항공,국내,CJU,도착,부정기,여객,1903,11,0,0,0,0,8394
2018-01,AAR,OZ,아시아나항공,국내,CJU,출발,부정기,여객,246,2,0,0,0,0,1421
2018-01,AAR,OZ,아시아나항공,국내,PUS,도착,정기,여객,2337,15,0,0,0,0,40068
2018-01,AAR,OZ,아시아나항공,국내,PUS,출발,정기,여객,2436,16,0,0,0,0,39205
2018-01,AAR,OZ,아시아나항공,국제,ALA,도착,정기,여객,1714,13,227,1840,0,0,31874
2018-01,AAR,OZ,아시아나항공,국제,ALA,출발,정기,여객,1472,8,273,68553,52062,3503,38367
2018-01,AAR,OZ,아시아나항공,국제,ANC,도착,정기,화물,0,0,0,455553,170838,0,0
2018-01,AAR,OZ,아시아나항공,국제,ANC,도착,부정기,화물,0,0,0,24077,14104,0,0
2018-01,AAR,OZ,아시아나항공,국제,ANC,출발,정기,화물,0,0,0,1506,0,0,0
2018-01,AAR,OZ,아시아나항공,국제,ATL,도착,정기,화물,0,0,0,503715,167667,0,0
2018-01,AAR,OZ,아시아나항공,국제,ATL,출발,정기,화물,0,0,0,362916,196558,0,0
2018-01,AAR,OZ,아시아나항공,국제,BKK,도착,정기,여객,14440,38,2428,342420,107861,0,271223
2018-01,AAR,OZ,아시아나항공,국제,BKK,출발,정기,여객,15288,45,1857,347879,99175,18374,272265
2018-01,AAR,OZ,아시아나항공,국제,BOM,출발,부정기,화물,0,0,0,82741,0,0,0
2018-01,AAR,OZ,아시아나항공,국제,BRU,도착,정기,화물,0,0,0,993379,149419,0,0
2018-01,AAR,OZ,아시아나항공,국제,BRU,출발,부정기,화물,0,0,0,1974,0,0,0
2018-01,AAR,OZ,아시아나항공,국제,CAN,도착,정기,화물,0,0,0,1090110,860433,21148,0
2018-01,AAR,OZ,아시아나항공,국제,CAN,도착,정기,여객,11078,35,1288,319226,161306,76329,201245
2018-01,AAR,OZ,아시아나항공,국제,CAN,출발,정기,화물,0,0,0,237344,74343,1487,0
2018-01,AAR,OZ,아시아나항공,국제,CAN,출발,정기,여객,10762,22,1013,205196,60791,8117,194419
2018-01,AAR,OZ,아시아나항공,국제,CDG,도착,정기,여객,5362,16,445,153913,48220,0,107794
2018-01,AAR,OZ,아시아나항공,국제,CDG,출발,정기,여객,5149,15,949,212541,74338,12821,105435
2018-01,AAR,OZ,아시아나항공,국제,CEB,도착,정기,여객,4674,62,2406,52711,36850,0,118130
2018-01,AAR,OZ,아시아나항공,국제,CEB,출발,정기,여객,4385,73,2420,19365,19113,0,127047
2018-01,AAR,OZ,아시아나항공,국제,CGK,도착,정기,여객,6705,31,392,197701,47469,0,101178
2018-01,AAR,OZ,아시아나항공,국제,CGK,출발,정기,여객,7463,29,617,275414,129117,0,177444
2018-01,AAR,OZ,아시아나항공,국제,CGQ,도착,정기,여객,4781,35,1178,31564,0,29315,88687
2018-01,AAR,OZ,아시아나항공,국제,CGQ,출발,정기,여객,5107,46,473,13908,2813,7550,88987
2018-01,AAR,OZ,아시아나항공,국제,CKG,도착,정기,화물,0,0,0,762160,733991,0,0
2018-01,AAR,OZ,아시아나항공,국제,CKG,도착,정기,여객,1535,6,172,4205,117,0,22416
2018-01,AAR,OZ,아시아나항공,국제,CKG,출발,정기,여객,1603,6,49,8261,92,0,22395
2018-01,AAR,OZ,아시아나항공,국제,CNX,도착,부정기,여객,1884,0,6,0,0,0,30410
2018-01,AAR,OZ,아시아나항공,국제,CNX,출발,부정기,여객,1899,0,0,0,0,0,29563
2018-01,AAR,OZ,아시아나항공,국제,CRK,도착,정기,여객,3603,8,1425,571,387,0,112048
2018-01,AAR,OZ,아시아나항공,국제,CRK,출발,정기,여객,3579,10,1413,1138,64,0,119156
2018-01,AAR,OZ,아시아나항공,국제,CSX,도착,정기,여객,2577,1,68,10343,4899,0,34512
2018-01,AAR,OZ,아시아나항공,국제,CSX,출발,정기,여객,2167,0,50,735,0,0,26140
2018-01,AAR,OZ,아시아나항공,국제,CTS,도착,정기,여객,6355,11,681,0,0,0,89679
2018-01,AAR,OZ,아시아나항공,국제,CTS,출발,정기,여객,6126,13,1214,0,0,0,76770
2018-01,AAR,OZ,아시아나항공,국제,CTU,도착,정기,여객,2991,11,223,25988,11467,13731,40011
2018-01,AAR,OZ,아시아나항공,국제,CTU,출발,정기,여객,3270,6,147,8918,1107,0,57267
2018-01,AAR,OZ,아시아나항공,국제,DAD,도착,정기,여객,10666,51,634,50490,24799,0,147801
2018-01,AAR,OZ,아시아나항공,국제,DAD,출발,정기,여객,10460,53,878,40694,33453,0,141566
2018-01,AAR,OZ,아시아나항공,국제,DEL,도착,정기,여객,4488,6,1795,78994,328,0,125073
2018-01,AAR,OZ,아시아나항공,국제,DEL,출발,정기,여객,5172,21,2050,77421,0,0,147320
2018-01,AAR,OZ,아시아나항공,국제,DFW,출발,정기,화물,0,0,0,523684,357158,0,0
2018-01,AAR,OZ,아시아나항공,국제,DLC,도착,정기,여객,5513,27,1516,51109,35322,0,96304
2018-01,AAR,OZ,아시아나항공,국제,DLC,출발,정기,여객,4743,37,692,74256,61523,0,78509
2018-01,AAR,OZ,아시아나항공,국제,DME,출발,정기,화물,0,0,0,304204,272138,0,0
2018-01,AAR,OZ,아시아나항공,국제,FCO,도착,정기,여객,5534,3,420,66067,9433,0,103460
2018-01,AAR,OZ,아시아나항공,국제,FCO,출발,정기,여객,5681,6,406,130877,87333,0,90174
2018-01,AAR,OZ,아시아나항공,국제,FRA,도착,정기,화물,0,0,0,2041434,244195,6185,0
2018-01,AAR,OZ,아시아나항공,국제,FRA,도착,정기,여객,10324,20,487,201240,36241,0,200578
2018-01,AAR,OZ,아시아나항공,국제,FRA,출발,정기,화물,0,0,0,1213592,800841,6176,0
2018-01,AAR,OZ,아시아나항공,국제,FRA,출발,정기,여객,11814,41,1106,147830,71360,19179,221118
2018-01,AAR,OZ,아시아나항공,국제,FUK,도착,정기,여객,17965,106,880,249690,149247,0,189414
2018-01,AAR,OZ,아시아나항공,국제,FUK,출발,정기,여객,18056,102,1533,222890,166854,19511,175734
2018-01,AAR,OZ,아시아나항공,국제,HAK,도착,정기,여객,1104,0,0,0,0,0,12144
2018-01,AAR,OZ,아시아나항공,국제,HAK,출발,정기,여객,1106,0,0,0,0,0,26237
2018-01,AAR,OZ,아시아나항공,국제,HAK,출발,부정기,여객,159,0,0,0,0,0,3643
2018-01,AAR,OZ,아시아나항공,국제,HAN,도착,정기,화물,0,0,0,131788,42452,0,0
2018-01,AAR,OZ,아시아나항공,국제,HAN,도착,정기,여객,15339,42,1867,424113,162939,0,246590
2018-01,AAR,OZ,아시아나항공,국제,HAN,도착,부정기,화물,0,0,0,197099,72718,0,0
2018-01,AAR,OZ,아시아나항공,국제,HAN,출발,정기,화물,0,0,0,3552175,582644,7682,0
2018-01,AAR,OZ,아시아나항공,국제,HAN,출발,정기,여객,16038,65,1844,347290,200549,8834,255443
2018-01,AAR,OZ,아시아나항공,국제,HAN,출발,부정기,화물,0,0,0,241858,62785,0,0
2018-01,AAR,OZ,아시아나항공,국제,HGH,도착,정기,여객,6685,19,237,179639,90756,69259,89779
2018-01,AAR,OZ,아시아나항공,국제,HGH,출발,정기,여객,6770,15,225,109780,29328,0,88384
2018-01,AAR,OZ,아시아나항공,국제,HKG,도착,정기,화물,0,0,0,3861155,2959022,1950,0
2018-01,AAR,OZ,아시아나항공,국제,HKG,도착,정기,여객,15043,35,1562,671091,579909,8689,206858
2018-01,AAR,OZ,아시아나항공,국제,HKG,도착,부정기,화물,0,0,0,90598,83000,0,0
2018-01,AAR,OZ,아시아나항공,국제,HKG,출발,정기,화물,0,0,0,1685114,441610,36179,0
2018-01,AAR,OZ,아시아나항공,국제,HKG,출발,정기,여객,16072,45,1065,322982,102581,14924,350323
2018-01,AAR,OZ,아시아나항공,국제,HKT,도착,정기,여객,6036,51,2579,1199,1199,0,121851
2018-01,AAR,OZ,아시아나항공,국제,HKT,출발,정기,여객,6356,67,1724,153029,0,0,91713
2018-01,AAR,OZ,아시아나항공,국제,HND,도착,정기,여객,3807,9,827,310,0,0,48661
2018-01,AAR,OZ,아시아나항공,국제,HND,도착,부정기,여객,277,1,0,0,0,0,3110
2018-01,AAR,OZ,아시아나항공,국제,HND,출발,정기,여객,3533,14,1543,115,0,0,65786
2018-01,AAR,OZ,아시아나항공,국제,HNL,도착,정기,여객,5333,40,2369,21064,6560,0,159823
2018-01,AAR,OZ,아시아나항공,국제,HNL,출발,정기,여객,5751,44,2005,122680,72503,36126,120620
2018-01,AAR,OZ,아시아나항공,국제,HRB,도착,정기,여객,4951,23,1582,1147,0,0,101883
2018-01,AAR,OZ,아시아나항공,국제,HRB,출발,정기,여객,6117,57,693,9922,1013,8782,115607
2018-01,AAR,OZ,아시아나항공,국제,IST,도착,정기,여객,2936,5,147,116747,68275,0,52737
2018-01,AAR,OZ,아시아나항공,국제,IST,출발,정기,여객,3008,1,76,13241,12370,0,49179
2018-01,AAR,OZ,아시아나항공,국제,JFK,도착,정기,화물,0,0,0,145597,15571,0,0
2018-01,AAR,OZ,아시아나항공,국제,JFK,도착,정기,여객,4734,26,3681,25212,17513,0,249214
2018-01,AAR,OZ,아시아나항공,국제,JFK,출발,정기,화물,0,0,0,1550123,1321070,34143,0
2018-01,AAR,OZ,아시아나항공,국제,JFK,출발,정기,여객,5877,30,2605,88981,15498,46200,226646
2018-01,AAR,OZ,아시아나항공,국제,JFK,출발,부정기,화물,0,0,0,49885,41480,1736,0
2018-01,AAR,OZ,아시아나항공,국제,KHV,도착,정기,여객,390,4,1181,958,484,0,19981
2018-01,AAR,OZ,아시아나항공,국제,KHV,출발,정기,여객,325,30,1410,6203,4362,147,28725
2018-01,AAR,OZ,아시아나항공,국제,KIX,도착,정기,화물,0,0,0,375912,193875,0,0
2018-01,AAR,OZ,아시아나항공,국제,KIX,도착,정기,여객,23151,82,1898,607499,212176,2026,274429
2018-01,AAR,OZ,아시아나항공,국제,KIX,출발,정기,화물,0,0,0,292706,218864,75,0
2018-01,AAR,OZ,아시아나항공,국제,KIX,출발,정기,여객,24085,74,2620,461666,230684,33461,304775
2018-01,AAR,OZ,아시아나항공,국제,KMI,도착,정기,여객,2970,12,54,0,0,0,58156
2018-01,AAR,OZ,아시아나항공,국제,KMI,출발,정기,여객,3065,7,82,0,0,0,57466
2018-01,AAR,OZ,아시아나항공,국제,KWL,도착,정기,여객,2293,3,22,0,0,0,27307
2018-01,AAR,OZ,아시아나항공,국제,KWL,출발,정기,여객,2324,2,36,60,0,0,24561
2018-01,AAR,OZ,아시아나항공,국제,LAX,도착,정기,화물,0,0,0,166518,50829,0,0
2018-01,AAR,OZ,아시아나항공,국제,LAX,도착,정기,여객,15389,64,11009,193653,140172,0,762307
2018-01,AAR,OZ,아시아나항공,국제,LAX,출발,정기,화물,0,0,0,2301220,1634197,24379,0
2018-01,AAR,OZ,아시아나항공,국제,LAX,출발,정기,여객,15914,117,11708,192755,66877,47219,678888
2018-01,AAR,OZ,아시아나항공,국제,LHR,도착,정기,여객,5920,28,1150,203045,35852,0,133050
2018-01,AAR,OZ,아시아나항공,국제,LHR,출발,정기,여객,7231,29,1694,285340,192059,44423,163210
2018-01,AAR,OZ,아시아나항공,국제,MNL,도착,정기,여객,9159,45,11403,368837,194551,0,516205
2018-01,AAR,OZ,아시아나항공,국제,MNL,출발,정기,여객,8420,42,11697,261411,78511,2449,591659
2018-01,AAR,OZ,아시아나항공,국제,MXP,도착,정기,화물,0,0,0,746326,165234,2326,0
2018-01,AAR,OZ,아시아나항공,국제,MXP,출발,정기,화물,0,0,0,406715,319449,8091,0
2018-01,AAR,OZ,아시아나항공,국제,NGO,도착,정기,여객,7857,27,551,42462,6041,15858,91889
2018-01,AAR,OZ,아시아나항공,국제,NGO,출발,정기,여객,8227,28,1229,39218,13725,21898,119225
2018-01,AAR,OZ,아시아나항공,국제,NKG,도착,정기,여객,4060,16,314,27653,5952,9054,52192
2018-01,AAR,OZ,아시아나항공,국제,NKG,출발,정기,여객,4304,16,185,18016,1537,0,61734
2018-01,AAR,OZ,아시아나항공,국제,NRT,도착,정기,화물,0,0,0,418638,165032,0,0
2018-01,AAR,OZ,아시아나항공,국제,NRT,도착,정기,여객,21788,96,2915,364063,141657,0,302154
2018-01,AAR,OZ,아시아나항공,국제,NRT,출발,정기,화물,0,0,0,452246,212387,5130,0
2018-01,AAR,OZ,아시아나항공,국제,NRT,출발,정기,여객,22604,99,4022,363762,145885,24016,322935
2018-01,AAR,OZ,아시아나항공,국제,OKA,도착,정기,여객,6358,117,314,2362,1915,0,80698
2018-01,AAR,OZ,아시아나항공,국제,OKA,출발,정기,여객,6599,124,679,27277,18709,4875,84158
