년월,항공사(ICAO),항공사(IATA),항공사명,국제_국내,경유지공항,도착_출발,정기_부정기,여객_화물,유임승객(명),무임승객(명),환승객(명),항공화물(kg),환적화물(kg),우편물(kg),수하물(kg)
2021-01,AAR,OZ,아시아나항공,국제,FUK,출발,부정기,여객,68,1,1030,398,0,0,37793
2021-01,AAR,OZ,아시아나항공,국제,HAN,도착,정기,화물,0,0,0,1379500,915233,3069,0
2021-01,AAR,OZ,아시아나항공,국제,HAN,도착,정기,여객,762,1,1641,91094,4536,0,80831
2021-01,AAR,OZ,아시아나항공,국제,HAN,도착,부정기,화물,0,0,0,356760,94170,0,0
2021-01,AAR,OZ,아시아나항공,국제,HAN,도착,부정기,여객,593,4,959,67308,27283,0,48806
2021-01,AAR,OZ,아시아나항공,국제,HAN,출발,정기,화물,0,0,0,3600469,495215,8965,0
2021-01,AAR,OZ,아시아나항공,국제,HAN,출발,정기,여객,212,9,165,138123,69377,2487,11417
2021-01,AAR,OZ,아시아나항공,국제,HAN,출발,부정기,화물,0,0,0,384540,43819,1042,0
2021-01,AAR,OZ,아시아나항공,국제,HAN,출발,부정기,여객,0,0,0,115958,56860,8246,0
2021-01,AAR,OZ,아시아나항공,국제,HKG,도착,정기,화물,0,0,0,3200693,2448440,0,0
2021-01,AAR,OZ,아시아나항공,국제,HKG,도착,정기,여객,135,0,27,8875,676,0,4899
2021-01,AAR,OZ,아시아나항공,국제,HKG,도착,부정기,화물,0,0,0,235415,102200,0,0
2021-01,AAR,OZ,아시아나항공,국제,HKG,출발,정기,화물,0,0,0,2639722,136087,9592,0
2021-01,AAR,OZ,아시아나항공,국제,HKG,출발,정기,여객,160,2,45,5624,249,1058,5512
2021-01,AAR,OZ,아시아나항공,국제,HKG,출발,부정기,화물,0,0,0,191095,6161,6434,0
2021-01,AAR,OZ,아시아나항공,국제,HPH,출발,부정기,여객,264,0,0,0,0,0,6813
2021-01,AAR,OZ,아시아나항공,국제,HRB,도착,정기,여객,183,3,57,892,0,0,5280
2021-01,AAR,OZ,아시아나항공,국제,HRB,출발,정기,여객,892,5,0,16381,1,16380,18625
2021-01,AAR,OZ,아시아나항공,국제,ICN,도착,부정기,여객,167,0,0,0,0,0,0
2021-01,AAR,OZ,아시아나항공,국제,ICN,출발,부정기,여객,167,0,0,0,0,0,0
2021-01,AAR,OZ,아시아나항공,국제,JFK,도착,정기,여객,854,14,223,174549,98325,0,38874
2021-01,AAR,OZ,아시아나항공,국제,JFK,출발,정기,화물,0,0,0,1098528,896356,2545,0
2021-01,AAR,OZ,아시아나항공,국제,JFK,출발,정기,여객,1420,10,252,209786,152149,42581,67216
2021-01,AAR,OZ,아시아나항공,국제,KIX,도착,정기,화물,0,0,0,724766,518189,0,0
2021-01,AAR,OZ,아시아나항공,국제,KIX,도착,정기,여객,527,10,362,129639,74876,0,21858
2021-01,AAR,OZ,아시아나항공,국제,KIX,도착,부정기,여객,53,2,48,14579,7052,0,2665
2021-01,AAR,OZ,아시아나항공,국제,KIX,출발,정기,화물,0,0,0,607320,227348,44514,0
2021-01,AAR,OZ,아시아나항공,국제,KIX,출발,정기,여객,361,4,2568,69087,13919,34638,94530
2021-01,AAR,OZ,아시아나항공,국제,KIX,출발,부정기,여객,68,0,308,5801,1358,4116,11955
2021-01,AAR,OZ,아시아나항공,국제,KTM,출발,부정기,화물,0,0,0,21299,0,0,0
2021-01,AAR,OZ,아시아나항공,국제,LAX,도착,정기,화물,0,0,0,146800,86358,0,0
2021-01,AAR,OZ,아시아나항공,국제,LAX,도착,정기,여객,1952,16,389,296360,28442,0,90731
2021-01,AAR,OZ,아시아나항공,국제,LAX,도착,부정기,화물,0,0,0,262898,59842,0,0
2021-01,AAR,OZ,아시아나항공,국제,LAX,출발,정기,화물,0,0,0,2168404,1414682,2074,0
2021-01,AAR,OZ,아시아나항공,국제,LAX,출발,정기,여객,2193,22,485,399257,250787,21248,96955
2021-01,AAR,OZ,아시아나항공,국제,LAX,출발,부정기,화물,0,0,0,639410,322862,0,0
2021-01,AAR,OZ,아시아나항공,국제,LHR,도착,정기,여객,0,0,0,60258,10875,0,0
2021-01,AAR,OZ,아시아나항공,국제,LHR,도착,부정기,화물,0,0,0,3763,1199,0,0
2021-01,AAR,OZ,아시아나항공,국제,LHR,출발,정기,여객,137,4,8,80548,76761,0,4974
2021-01,AAR,OZ,아시아나항공,국제,MNL,도착,정기,여객,762,4,1169,368347,60819,0,48304
2021-01,AAR,OZ,아시아나항공,국제,MNL,출발,정기,여객,604,1,445,195183,47583,0,30192
2021-01,AAR,OZ,아시아나항공,국제,MXP,도착,정기,화물,0,0,0,777190,84616,0,0
2021-01,AAR,OZ,아시아나항공,국제,MXP,출발,정기,화물,0,0,0,338843,306681,0,0
2021-01,AAR,OZ,아시아나항공,국제,NGO,도착,정기,여객,32,1,30,124,99,0,1434
2021-01,AAR,OZ,아시아나항공,국제,NGO,출발,정기,여객,147,1,120,88,0,0,9528
2021-01,AAR,OZ,아시아나항공,국제,NKG,도착,정기,여객,840,1,41,39911,7649,0,21593
2021-01,AAR,OZ,아시아나항공,국제,NKG,도착,부정기,여객,73,0,0,0,0,0,2044
2021-01,AAR,OZ,아시아나항공,국제,NKG,출발,정기,여객,1188,3,0,6896,2770,0,34718
2021-01,AAR,OZ,아시아나항공,국제,NKG,출발,부정기,여객,303,0,0,64,0,0,9025
2021-01,AAR,OZ,아시아나항공,국제,NRT,도착,정기,화물,0,0,0,1063895,664768,9920,0
2021-01,AAR,OZ,아시아나항공,국제,NRT,도착,정기,여객,1426,30,452,9371,1002,6009,46942
2021-01,AAR,OZ,아시아나항공,국제,NRT,출발,정기,화물,0,0,0,993751,326385,44785,0
2021-01,AAR,OZ,아시아나항공,국제,NRT,출발,정기,여객,1070,16,710,11858,3418,110,43589
2021-01,AAR,OZ,아시아나항공,국제,ORD,도착,정기,화물,0,0,0,90803,2767,0,0
2021-01,AAR,OZ,아시아나항공,국제,ORD,도착,부정기,화물,0,0,0,248062,383,0,0
2021-01,AAR,OZ,아시아나항공,국제,ORD,출발,정기,화물,0,0,0,1415285,1089766,4703,0
2021-01,AAR,OZ,아시아나항공,국제,ORD,출발,부정기,화물,0,0,0,284188,279936,0,0
2021-01,AAR,OZ,아시아나항공,국제,PNH,도착,정기,여객,438,2,482,11178,734,0,23192
2021-01,AAR,OZ,아시아나항공,국제,PNH,도착,부정기,여객,140,0,97,782,88,0,5721
2021-01,AAR,OZ,아시아나항공,국제,PNH,출발,정기,여객,746,7,926,15987,2901,0,49905
2021-01,AAR,OZ,아시아나항공,국제,PNH,출발,부정기,여객,70,0,155,3161,0,0,5056
2021-01,AAR,OZ,아시아나항공,국제,PVG,도착,정기,화물,0,0,0,3110826,1881812,50714,0
2021-01,AAR,OZ,아시아나항공,국제,PVG,출발,정기,화물,0,0,0,2533476,643218,19122,0
2021-01,AAR,OZ,아시아나항공,국제,SEA,도착,정기,화물,0,0,0,1154605,300324,5993,0
2021-01,AAR,OZ,아시아나항공,국제,SEA,도착,정기,여객,380,5,118,91569,64469,0,17444
2021-01,AAR,OZ,아시아나항공,국제,SEA,출발,정기,화물,0,0,0,42549,42041,0,0
2021-01,AAR,OZ,아시아나항공,국제,SEA,출발,정기,여객,510,4,302,99350,76756,0,28674
2021-01,AAR,OZ,아시아나항공,국제,SFO,도착,정기,화물,0,0,0,1795571,428341,0,0
2021-01,AAR,OZ,아시아나항공,국제,SFO,도착,정기,여객,613,12,105,121611,11876,0,25943
2021-01,AAR,OZ,아시아나항공,국제,SFO,출발,정기,화물,0,0,0,426043,207310,28357,0
2021-01,AAR,OZ,아시아나항공,국제,SFO,출발,정기,여객,757,9,119,159200,94757,28358,31418
2021-01,AAR,OZ,아시아나항공,국제,SGN,도착,정기,여객,342,6,751,172932,58693,0,37338
2021-01,AAR,OZ,아시아나항공,국제,SGN,도착,부정기,화물,0,0,0,113285,58747,0,0
2021-01,AAR,OZ,아시아나항공,국제,SGN,도착,부정기,여객,87,1,340,47706,21675,0,13801
2021-01,AAR,OZ,아시아나항공,국제,SGN,출발,정기,화물,0,0,0,619436,208511,4405,0
2021-01,AAR,OZ,아시아나항공,국제,SGN,출발,정기,여객,151,2,170,239273,77350,3302,10858
2021-01,AAR,OZ,아시아나항공,국제,SGN,출발,부정기,화물,0,0,0,255562,58707,2407,0
2021-01,AAR,OZ,아시아나항공,국제,SGN,출발,부정기,여객,1,0,22,97222,41284,1484,877
2021-01,AAR,OZ,아시아나항공,국제,SIN,도착,정기,화물,0,0,0,1403651,264515,2681,0
2021-01,AAR,OZ,아시아나항공,국제,SIN,도착,정기,여객,177,3,47,194013,11273,4367,5742
2021-01,AAR,OZ,아시아나항공,국제,SIN,도착,부정기,화물,0,0,0,213525,12515,0,0
2021-01,AAR,OZ,아시아나항공,국제,SIN,출발,정기,화물,0,0,0,637616,396866,536,0
2021-01,AAR,OZ,아시아나항공,국제,SIN,출발,정기,여객,322,3,8,176491,68350,5444,10227
2021-01,AAR,OZ,아시아나항공,국제,SIN,출발,부정기,화물,0,0,0,168111,126878,0,0
2021-01,AAR,OZ,아시아나항공,국제,STN,출발,정기,화물,0,0,0,437732,416312,0,0
2021-01,AAR,OZ,아시아나항공,국제,SYD,도착,정기,여객,593,6,14,55727,6294,0,15881
2021-01,AAR,OZ,아시아나항공,국제,SYD,도착,부정기,화물,0,0,0,10036,7748,0,0
2021-01,AAR,OZ,아시아나항공,국제,SYD,출발,정기,여객,121,2,11,34172,420,0,5127
2021-01,AAR,OZ,아시아나항공,국제,SYD,출발,부정기,화물,0,0,0,20966,20966,0,0
2021-01,AAR,OZ,아시아나항공,국제,TAO,도착,부정기,화물,0,0,0,446540,386772,0,0
2021-01,AAR,OZ,아시아나항공,국제,TAO,출발,부정기,화물,0,0,0,194583,70635,15425,0
2021-01,AAR,OZ,아시아나항공,국제,TAS,도착,정기,여객,259,4,2,1356,0,0,6968
2021-01,AAR,OZ,아시아나항공,국제,TAS,도착,부정기,여객,65,2,1,428,425,0,1561
2021-01,AAR,OZ,아시아나항공,국제,TAS,출발,정기,여객,232,2,39,2584,7,0,14954
2021-01,AAR,OZ,아시아나항공,국제,TAS,출발,부정기,여객,251,6,23,4706,104,0,15513
2021-01,AAR,OZ,아시아나항공,국제,TPE,도착,정기,여객,247,5,36,267529,113135,0,7805
2021-01,AAR,OZ,아시아나항공,국제,TPE,도착,부정기,화물,0,0,0,191034,86941,0,0
2021-01,AAR,OZ,아시아나항공,국제,TPE,출발,정기,여객,222,3,30,277159,11552,0,7587
2021-01,AAR,OZ,아시아나항공,국제,TPE,출발,부정기,화물,0,0,0,461636,0,0,0
