시도,군구,관광지,내/외국인,총계(2018.01 ~ 2023.12),인원계,2018년 01월,2018년 02월,2018년 03월,2018년 04월,2018년 05월,2018년 06월,2018년 07월,2018년 08월,2018년 09월,2018년 10월,2018년 11월,2018년 12월,인원계,2019년 01월,2019년 02월,2019년 03월,2019년 04월,2019년 05월,2019년 06월,2019년 07월,2019년 08월,2019년 09월,2019년 10월,2019년 11월,2019년 12월,인원계,2020년 01월,2020년 02월,2020년 03월,2020년 04월,2020년 05월,2020년 06월,2020년 07월,2020년 08월,2020년 09월,2020년 10월,2020년 11월,2020년 12월,인원계,2021년 01월,2021년 02월,2021년 03월,2021년 04월,2021년 05월,2021년 06월,2021년 07월,2021년 08월,2021년 09월,2021년 10월,2021년 11월,2021년 12월,인원계,2022년 01월,2022년 02월,2022년 03월,2022년 04월,2022년 05월,2022년 06월,2022년 07월,2022년 08월,2022년 09월,2022년 10월,2022년 11월,2022년 12월,인원계,2023년 01월,2023년 02월,2023년 03월,2023년 04월,2023년 05월,2023년 06월,2023년 07월,2023년 08월,2023년 09월,2023년 10월,2023년 11월,2023년 12월,
서울특별시,송파구,롯데월드,내국인,"25,208,638","5,692,646","508,452","536,389","365,255","417,187","479,165","342,222","427,204","510,487","429,717","615,488","450,865","610,215","5,786,118","494,765","585,274","374,858","421,265","467,127","386,508","464,519","526,720","398,863","592,733","460,324","613,162","1,557,802","476,420","145,934","99,358","81,161","104,654","45,889","96,300","117,753","46,608","179,074","134,603","30,048","2,462,472","57,810","143,553","142,970","174,907","248,548","213,685","125,466","175,825","201,122","346,805","318,985","312,796","4,516,912","300,514","218,464","188,057","345,880","375,812","304,605","414,103","416,971","376,091","600,599","416,591","559,225","5,192,688","421,566","531,125","284,721","377,705","426,464","345,840","442,372","449,337","369,549","492,885","451,381","599,743",
서울특별시,송파구,롯데월드,합계,"25,208,638","5,692,646","508,452","536,389","365,255","417,187","479,165","342,222","427,204","510,487","429,717","615,488","450,865","610,215","5,786,118","494,765","585,274","374,858","421,265","467,127","386,508","464,519","526,720","398,863","592,733","460,324","613,162","1,557,802","476,420","145,934","99,358","81,161","104,654","45,889","96,300","117,753","46,608","179,074","134,603","30,048","2,462,472","57,810","143,553","142,970","174,907","248,548","213,685","125,466","175,825","201,122","346,805","318,985","312,796","4,516,912","300,514","218,464","188,057","345,880","375,812","304,605","414,103","416,971","376,091","600,599","416,591","559,225","5,192,688","421,566","531,125","284,721","377,705","426,464","345,840","442,372","449,337","369,549","492,885","451,381","599,743",
